original_text,document,paragraph_index,simplified_text
"Il soggetto gestore accreditato è tenuto a:
- assolvere il debito informativo prescritto dalla Regione;
- garantire alla ATS, che esercita ai sensi della normativa regionale i compiti di vigilanza e controllo sulle unità d'offerta: l'accesso a tutti i locali della struttura; l'accesso alla documentazione relativa al rapporto di accreditamento o, comunque, rilevante ai fini dell'esercizio dell'unità di offerta; la possibilità di intraprendere ogni ulteriore esame finalizzato a verificare l'allineamento della gestione reale a quanto dichiarato nei diversi documenti prodotti; la facoltà di assumere informazioni dirette dal personale, dagli ospiti e dai loro familiari;
- rispettare le procedure previste nei casi di variazione del soggetto gestore",3e0abd25f3bcf417e9e0a8b74e158ef5,42,"Il gestore accreditato deve:
- fornire tutte le informazioni richieste dalla Regione;
- consentire all'ATS, che svolge compiti di vigilanza e controllo sulle strutture, di accedere a tutti i locali, alla documentazione sull'accreditamento e di effettuare eventuali verifiche aggiuntive; 
- permettere di raccogliere informazioni direttamente dal personale, dagli ospiti e dai familiari;
- seguire le procedure stabilite in caso di cambio del gestore."
"Per presentare istanza di accreditamento, si conferma la possibilità da parte del soggetto gestore di attestare i requisiti di accreditamento mediante perizia asseverata, secondo le modalità previste con la D.G.R. del 7 febbraio 2005, n. 20465, ""Ulteriori determinazioni procedurali in ordine ai percorsi di semplificazione per le unità d'offerta sociosanitarie"".",3e0abd25f3bcf417e9e0a8b74e158ef5,43,"Per richiedere l'accreditamento, il soggetto gestore può confermare di possedere i requisiti necessari attraverso una perizia asseverata, come indicato nella D.G.R. del 7 febbraio 2005, n. 20465, che stabilisce le modalità per i percorsi di semplificazione per le unità d'offerta sociosanitarie."
"Il trasferimento dell'accreditamento da un soggetto gestore a un altro è subordinato all'emanazione di un provvedimento di voltura da parte di Regione, previo favorevole parere dell'ATS, finalizzato ad attestare la sussistenza dei requisiti soggettivi del soggetto gestore subentrante.",3e0abd25f3bcf417e9e0a8b74e158ef5,44,"Per trasferire l'accreditamento da un soggetto gestore a un altro, è necessario che la Regione emani un provvedimento di voltura. Questo avviene previo parere favorevole dell'ATS, che attesta che il nuovo soggetto gestore possiede i requisiti necessari."
Non è ammessa la voltura di unità d'offerta non funzionanti.,3e0abd25f3bcf417e9e0a8b74e158ef5,45,Non puoi trasferire la proprietà di un'unità d'offerta che non funziona.
"Il soggetto gestore subentrante attiva il procedimento attraverso la presentazione di un'istanza alla Regione e alla ATS competente per territorio, utilizzando l'apposita modulistica regionale, mediante presentazione diretta, invio postale con raccomandata con avviso di ricevimento, posta elettronica certificata (PEC). La trasmissione alla Regione deve avvenire esclusivamente tramite PEC.",3e0abd25f3bcf417e9e0a8b74e158ef5,46,"Il gestore che subentra avvia la procedura presentando un'istanza alla Regione e all'ATS competente per territorio, utilizzando i moduli regionali appositi. Può farlo direttamente, inviando una raccomandata con avviso di ricevimento per posta, oppure tramite posta elettronica certificata (PEC). È obbligatorio inviare l'istanza alla Regione esclusivamente tramite PEC."
"All'istanza di voltura dell'accreditamento, unicamente per la ATS, deve essere allegata la seguente documentazione:",3e0abd25f3bcf417e9e0a8b74e158ef5,47,"Per richiedere il cambio di titolarità dell'accreditamento presso l'ATS, è necessario allegare i seguenti documenti:"
"il contratto e/o l'atto unilaterale di cessione, in relazione al quale il nuovo soggetto subentra nella gestione dell'unità d'offerta, la cui efficacia è comunque subordinata all'adozione del provvedimento di voltura dell'accreditamento;",3e0abd25f3bcf417e9e0a8b74e158ef5,48,"Il nuovo soggetto che prende il controllo dell'unità d'offerta deve firmare il contratto o l'atto unilaterale di cessione. Tuttavia, questo passaggio è valido solo dopo che è stato adottato il provvedimento per cambiare il titolare dell'accreditamento."
per l'ipotesi in cui l'immobile non sia di proprietà del soggetto gestore: dichiarazione del proprietario che attesti che non sussistono impedimenti al subentro del nuovo soggetto nel godimento dell'immobile e al trasferimento dell'accreditamento (come ad esempio vincoli derivanti da finanziamento pubblico per la realizzazione o la ristrutturazione dell'immobile ove è esercitata l'unità d'offerta);,3e0abd25f3bcf417e9e0a8b74e158ef5,49,"Se l'immobile non è di proprietà del soggetto gestore, è necessario che il proprietario rilasci una dichiarazione che attesti l'assenza di impedimenti al subentro del nuovo soggetto nel godimento dell'immobile e al trasferimento dell'accreditamento. Gli impedimenti potrebbero derivare, ad esempio, da vincoli legati a finanziamenti pubblici per la realizzazione o la ristrutturazione dell'immobile in cui si trova l'unità d'offerta."
"attestazione, da parte del soggetto subentrante, del possesso dei requisiti soggettivi di esercizio, di accreditamento e, qualora il soggetto uscente sia titolare di contratto con la ATS, anche dei requisiti soggettivi per la sottoscrizione del contratto;",3e0abd25f3bcf417e9e0a8b74e158ef5,50,"Il soggetto subentrante deve attestare di possedere i requisiti necessari per poter esercitare l'attività, per essere accreditato e, se il soggetto uscente ha un contratto con l'ATS, anche per poter firmare il contratto."
"dichiarazione di impegno del soggetto subentrante a garantire il mantenimento dei requisiti organizzativi e gestionali, strutturali e tecnologici, di esercizio e di accreditamento;",3e0abd25f3bcf417e9e0a8b74e158ef5,51,"Il soggetto subentrante si impegna a garantire il mantenimento dei requisiti organizzativi, gestionali, strutturali e tecnologici necessari per l'esercizio e l'accreditamento."
dichiarazione di impegno del soggetto uscente a garantire la continuità dell'attività sino all'adozione del provvedimento di voltura.,3e0abd25f3bcf417e9e0a8b74e158ef5,52,Impegno del soggetto uscente a garantire la continuità dell'attività fino all'adozione del provvedimento di voltura.
"Il richiedente non è tenuto a produrre, se non in caso di loro modifica, i documenti che attestano il possesso dei requisiti di carattere strutturale.",3e0abd25f3bcf417e9e0a8b74e158ef5,53,"Il richiedente non deve presentare i documenti che confermano di possedere i requisiti strutturali, a meno che non siano stati modificati."
"Entro sessanta giorni dalla presentazione dell'istanza, la ATS procede a verificare il possesso dei requisiti soggettivi e, in caso di esito positivo, adotta il provvedimento di parere favorevole alla voltura dell'accreditamento, attestante il possesso dei requisiti soggettivi del nuovo soggetto gestore. Qualora le verifiche si concludano con esito negativo, la ATS adotta il provvedimento di parere negativo alla voltura dell'accreditamento.",3e0abd25f3bcf417e9e0a8b74e158ef5,54,"La ATS verifica i requisiti del nuovo gestore entro sessanta giorni dalla presentazione della richiesta. Se i requisiti sono soddisfatti, rilascia un parere favorevole per il trasferimento dell'accreditamento. In caso contrario, emette un parere negativo."
"Entro cinque giorni lavorativi dalla loro adozione, tutti i provvedimenti adottati dalla ATS devono essere trasmessi al soggetto gestore e alla Regione che procede ad emettere il provvedimento di voltura, entro i successivi sessanta giorni con aggiornamento del registro informatizzato delle unità di offerta sociosanitarie accreditate, dandone comunicazione alla ATS e al soggetto interessato.",3e0abd25f3bcf417e9e0a8b74e158ef5,55,"La ATS deve inviare tutti i provvedimenti adottati entro cinque giorni lavorativi dalla loro adozione al soggetto gestore e alla Regione. La Regione emetterà il provvedimento di voltura entro sessanta giorni e aggiornerà il registro delle unità di offerta sociosanitarie accreditate. Successivamente, comunicherà la decisione alla ATS e al soggetto interessato."
"La ATS, entro novanta giorni dalla comunicazione del provvedimento di voltura con aggiornamento del registro regionale, effettua una visita di vigilanza presso l'unità d'offerta, al fine di verificare il mantenimento dei requisiti, con particolare attenzione ai requisiti organizzativi e gestionali.",3e0abd25f3bcf417e9e0a8b74e158ef5,56,"Entro tre mesi dalla comunicazione del cambio di proprietà con aggiornamento del registro regionale, l'ATS effettua un controllo presso l'unità d'offerta per verificare che mantenga i requisiti richiesti, con particolare attenzione all'organizzazione e alla gestione."
"Le unità d'offerta realizzate con finanziamenti pubblici di natura regionale o statale mantengono, anche in caso di voltura, il vincolo di destinazione.",3e0abd25f3bcf417e9e0a8b74e158ef5,57,"Le attività finanziate con soldi pubblici regionali o statali devono essere utilizzate per lo scopo previsto, anche se vengono trasferite a un'altra persona."
"Ai fini di quanto sopra, il soggetto pubblico proprietario dell'immobile nel quale viene esercitata l'attività di un'unità d'offerta e che intenda affidare la gestione dell'attività, regola i propri rapporti con l'affidatario tramite l'inserimento nel relativo capitolato di condizioni volte a garantire:
- il rispetto di tutti i requisiti di esercizio e di accreditamento;
- l'osservanza delle condizioni di accesso alla sottoscrizione dell'eventuale contratto con la ATS, previste dalla normativa;
- la corretta gestione dell'unità d'offerta ai sensi della vigente normativa nazionale e regionale",3e0abd25f3bcf417e9e0a8b74e158ef5,58,"Il proprietario pubblico dell'immobile in cui si svolge un'attività commerciale e che vuole affidare la gestione dell'attività regola i suoi rapporti con il gestore inserendo nel contratto condizioni che garantiscono:
- il rispetto di tutti i requisiti necessari per svolgere l'attività e ottenere l'accreditamento;
- il rispetto delle condizioni per poter firmare un contratto con l'ATS, come previsto dalla legge;
- la corretta gestione dell'attività commerciale in conformità alla normativa nazionale e regionale vigente."
Il soggetto pubblico deve inoltre espletare le procedure di affidamento a terzi in modo da garantire che la gestione dell'attività prosegua con continuità tra un gestore e il successivo.,3e0abd25f3bcf417e9e0a8b74e158ef5,59,Il soggetto pubblico deve anche svolgere le procedure per affidare a terzi in modo che la gestione dell'attività continui senza interruzioni tra un gestore e il successivo.
"L'affidatario provvede direttamente a presentare la richiesta di voltura dell'accreditamento, dando così attivazione alla procedura descritta sopra. La documentazione richiesta viene integrata con il capitolato e l'atto di affidamento.",3e0abd25f3bcf417e9e0a8b74e158ef5,60,"L'affidatario presenta direttamente la richiesta di cambio di titolarità dell'accreditamento, avviando così la procedura descritta in precedenza. La documentazione necessaria include il capitolato e l'atto di affidamento."
"Fatte salve le responsabilità di natura civile e penale, nonché le sanzioni dovute al mancato rispetto di altre normative regionali o nazionali, le unità d'offerta sociosanitarie incorrono nella sospensione o revoca dell'accreditamento, previa diffida da parte della ATS ad adempiere entro un congruo termine (vedi paragrafo 3.2.), nei seguenti casi:
- quando l'attività sia esercitata in mancanza dei requisiti minimi;
- quando non venga garantito il mantenimento di uno o più requisiti di accreditamento;
- quando non venga ottemperato il debito informativo nei confronti di Regione o ATS",3e0abd25f3bcf417e9e0a8b74e158ef5,61,"Le unità d'offerta sociosanitarie rischiano la sospensione o la revoca dell'accreditamento se si verificano le seguenti situazioni:
- svolgimento dell'attività senza i requisiti minimi;
- mancata garanzia del mantenimento dei requisiti di accreditamento;
- mancato adempimento degli obblighi informativi verso la Regione o l'ATS. Queste azioni possono comportare responsabilità civili e penali, nonché sanzioni secondo le normative regionali e nazionali. Prima della sospensione o revoca dell'accreditamento, l'ATS invierà una diffida affinché si adempia entro un tempo stabilito nel paragrafo 3.2."
"Decorso infruttuosamente il termine della diffida, la ATS adotta entro trenta giorni il provvedimento di proposta di sospensione dell'accreditamento per un periodo minimo di tre e massimo di centottanta giorni dandone comunicazione sia alla Regione, che procede all'emissione di un provvedimento di sospensione con registrazione sul registro regionale, che al soggetto gestore.",3e0abd25f3bcf417e9e0a8b74e158ef5,62,"Se la ATS non riceve risposta entro il termine della diffida, entro trenta giorni adotta la proposta di sospensione dell'accreditamento per un periodo che va da tre a centottanta giorni. Comunica questa decisione sia alla Regione, che emetterà il provvedimento di sospensione con registrazione sul registro regionale, sia al soggetto gestore."
"Al termine della sospensione, accertato l'assolvimento delle prescrizioni la ATS comunica entro cinque giorni lavorativi alla Regione e al soggetto gestore l'esito positivo della verifica.",3e0abd25f3bcf417e9e0a8b74e158ef5,63,"Dopo la sospensione, una volta verificato che le prescrizioni sono state rispettate, l'Agenzia di Tutela della Salute comunica il risultato positivo della verifica alla Regione e all'ente responsabile entro cinque giorni lavorativi."
"Nel caso di ulteriore mancato adeguamento, ovvero in caso di fatti di accertata gravità, la ATS adotta entro trenta giorni il provvedimento di proposta di revoca dell'accreditamento.",3e0abd25f3bcf417e9e0a8b74e158ef5,64,"Se l'ente non si adegua ulteriormente o commette gravi violazioni, l'Agenzia di Tutela della Salute proporrà la revoca dell'accreditamento entro trenta giorni."
"Il riscontro delle violazioni di cui ai punti 1 e 2 contestate alla medesima unità d'offerta per la terza volta nel corso dell'anno solare, comporta la diffida ad ottemperare con contestuale e immediata emissione del provvedimento di proposta di sospensione dell'accreditamento da parte di ATS.",3e0abd25f3bcf417e9e0a8b74e158ef5,65,"Se la stessa unità d'offerta commette per la terza volta nel corso dell'anno solare le violazioni indicate nei punti 1 e 2, verrà diffidata a conformarsi immediatamente. Inoltre, l'ATS emetterà immediatamente una proposta di sospensione dell'accreditamento."
"Entro cinque giorni lavorativi dalla loro adozione, tutti i provvedimenti adottati dalla ATS devono essere trasmessi al soggetto gestore e alla Regione che procede ad emettere l'atto relativo all'accreditamento entro i successivi sessanta giorni con aggiornamento del registro informatizzato delle unità di offerta sociosanitarie accreditate dandone comunicazione alla ATS e al soggetto interessato.",3e0abd25f3bcf417e9e0a8b74e158ef5,66,"Entro cinque giorni lavorativi dalla loro adozione, l'ATS deve inviare tutti i provvedimenti al soggetto gestore e alla Regione. La Regione emetterà l'atto di accreditamento entro sessanta giorni e aggiornerà il registro delle unità di offerta sociosanitarie accreditate. Successivamente, comunicherà l'avvenuto accreditamento all'ATS e al soggetto interessato."
"Si incorre nella decadenza dell'accreditamento nei casi di cessazione o di mancato avvio dell'attività.
- Cessazione dell'attività: la proposta di decadenza è disposta dalla ATS a seguito di comunicazione da parte del soggetto gestore. La ATS verifica la salvaguardia della continuità assistenziale degli utenti e ne dà comunicazione in Regione. Qualora la cessazione dell'attività derivi da una decisione del soggetto gestore, viene fissato un termine di preavviso minimo di novanta giorni, fatta salva diversa valutazione della ATS competente. Gravano in capo al soggetto gestore tutti gli adempimenti e i relativi oneri per l'idonea collocazione degli utenti in altre unità d'offerta, in raccordo con la ATS, gli utenti stessi, le loro famiglie, eventuali tutori o amministratori di sostegno e i Comuni di residenza. La proposta di decadenza da parte di ATS può esitare anche dall'accertamento d'ufficio della mancata attività, per assoluta mancanza di prese in carico di utenti, da almeno un trimestre.
- Mancato avvio dell'attività: la proposta di decadenza viene disposta dalla ATS nel caso in cui nel corso del sopralluogo post accreditamento verifichi che l'attività non sia stata avviata con l'effettiva presa in carico di utenti",3e0abd25f3bcf417e9e0a8b74e158ef5,67,"Se un servizio non inizia o viene interrotto, si perde l'accreditamento.
- Interruzione del servizio: se il gestore comunica la chiusura, l'Agenzia di Tutela della Salute (ATS) valuta se garantire l'assistenza ai pazienti e informa la Regione. Se la chiusura è decisione del gestore, deve avvisare almeno novanta giorni prima, salvo diversa decisione dell'ATS. Il gestore è responsabile di trovare una nuova sistemazione per i pazienti, in collaborazione con l'ATS, i pazienti, le famiglie, tutori o amministratori e i Comuni di residenza. L'ATS può revocare l'accreditamento se non vengono presi in carico pazienti per almeno un trimestre.
- Mancato avvio del servizio: se durante un controllo successivo all'accreditamento si scopre che il servizio non è iniziato con la presa in carico effettiva dei pazienti, l'ATS può revocare l'accreditamento."
"Entro cinque giorni lavorativi dalla loro adozione, tutti i provvedimenti adottati dalla ATS devono essere trasmessi al soggetto gestore e alla Regione che procede ad emettere il provvedimento relativo all'accreditamento, entro i successivi sessanta giorni, con aggiornamento del registro informatizzato delle unità di offerta sociosanitarie accreditate, dandone comunicazione alla ATS e al soggetto interessato.",3e0abd25f3bcf417e9e0a8b74e158ef5,68,"Entro cinque giorni lavorativi dalla loro adozione, la ATS deve inviare tutti i provvedimenti al soggetto gestore e alla Regione. Quest'ultima emetterà il provvedimento sull'accreditamento entro sessanta giorni e aggiornerà il registro delle unità di offerta sociosanitarie accreditate. Successivamente, comunicherà la decisione alla ATS e al soggetto interessato."
"Il soggetto gestore di più unità d'offerta sociosanitarie accreditate, anche di diversa tipologia, può chiedere il riconoscimento di ente unico gestore.",3e0abd25f3bcf417e9e0a8b74e158ef5,69,"Se gestisci più strutture sanitarie accreditate, anche di tipi diversi, puoi richiedere di essere riconosciuto come unico gestore."
Non è ammesso richiedere l'inserimento nell'Ente Unico di una unità d'offerta non funzionante.,3e0abd25f3bcf417e9e0a8b74e158ef5,70,Non si può chiedere di aggiungere all'Ente Unico un'unità d'offerta che non funziona.
"Il riconoscimento di ente unico gestore di più unità d'offerta cambia la definizione di unità d'offerta, che diventa il complesso di tutte le unità d'offerta afferenti all'ente gestore.",3e0abd25f3bcf417e9e0a8b74e158ef5,71,"Quando un unico ente si occupa di gestire più servizi, la definizione di unità d'offerta cambia diventando l'insieme di tutti i servizi gestiti da quell'ente."
"L'ente unico è costituito da una parte o da tutte le unità d'offerta afferenti ad un unico soggetto gestore. Il riconoscimento di ente unico pur costituendo una semplificazione amministrativa, implica un processo di profonda revisione organizzativa da parte del soggetto gestore, che può essere attuato gradualmente per le proprie unità d'offerta e pertanto la richiesta di riconoscimento non deve necessariamente comprendere tutte le unità d'offerta in capo al soggetto gestore.",3e0abd25f3bcf417e9e0a8b74e158ef5,72,"L'ente unico è formato da una parte o da tutte le unità di servizio che dipendono da un unico gestore. Per ottenere il riconoscimento dell'ente unico, che è una semplificazione amministrativa, il gestore deve effettuare una revisione organizzativa approfondita, che può essere realizzata gradualmente per le proprie unità di servizio. Di conseguenza, la richiesta di riconoscimento non deve includere necessariamente tutte le unità di servizio gestite dallo stesso soggetto."
"L'ente unico è un soggetto gestore di più unità d'offerta accreditate sul territorio regionale che agisce in modo uniforme attraverso l'adozione di protocolli assistenziali e procedure operative omogenee (come ad esempio la gestione dei reclami, la rilevazione della qualità percepita, i contratti d'ingresso con gli utenti, la progettazione e l'erogazione dell'attività formativa, ecc.).",3e0abd25f3bcf417e9e0a8b74e158ef5,73,"L'ente unico gestisce più unità d'offerta accreditate nella regione. Opera in modo uniforme adottando protocolli assistenziali e procedure operative omogenee, come la gestione dei reclami, la valutazione della qualità percepita, la stipula dei contratti con gli utenti e l'organizzazione dell'attività formativa."
"Il legale rappresentante del soggetto gestore, pubblico o privato, o altro soggetto munito di idonei poteri, di più unità d'offerta accreditate sul territorio regionale, può presentare alla Regione e alle ATS sul cui territorio insistono le unità d'offerta interessate istanza di riconoscimento quale ente unico, compilando la specifica modulistica regionale che comprende l'autocertificazione di assolvimento a livello di ente unico dei requisiti organizzativi e gestionali generali di esercizio e di accreditamento.",3e0abd25f3bcf417e9e0a8b74e158ef5,74,"Il legale rappresentante di un ente gestore, sia esso pubblico o privato, o di un'altra figura con i poteri necessari, di più strutture autorizzate nella regione, può chiedere alla Regione e alle Agenzie di Tutela della Salute del territorio in cui si trovano le strutture interessate di essere riconosciuto come un unico ente. Per fare ciò, è necessario compilare l'apposito modulo regionale che include la dichiarazione di conformità ai requisiti organizzativi e gestionali necessari per l'esercizio e l'accreditamento come ente unico."
"La ATS titolare del procedimento di verifica viene automaticamente individuata, di norma, in quella sul cui territorio l'ente unico gestore svolge in modo prevalente la propria attività, ovvero dispone del budget di entità maggiore.",3e0abd25f3bcf417e9e0a8b74e158ef5,75,"Di solito, l'ATS responsabile della verifica viene scelta automaticamente tra l'ente che opera principalmente nel territorio e ha il budget più grande."
"La ATS competente provvede entro sessanta giorni dalla presentazione dell'istanza ad effettuare la verifica, ad attestare il possesso dei requisiti e a trasmettere il provvedimento di attestazione alla Regione e al soggetto gestore.",3e0abd25f3bcf417e9e0a8b74e158ef5,76,"Entro due mesi dalla presentazione della richiesta, l'ATS competente verifica i requisiti, attesta il possesso degli stessi e invia l'attestazione alla Regione e al gestore interessato."
"Sulla base dell'attestazione della ATS, la Regione dispone, entro trenta giorni il riconoscimento di ente unico gestore, con provvedimento della competente Direzione Generale.",3e0abd25f3bcf417e9e0a8b74e158ef5,77,"La Regione riconosce l'ente unico gestore entro trenta giorni dalla certificazione dell'ATS, con un provvedimento della Direzione Generale competente."
"Per le istanze di voltura dell'accreditamento e di riconoscimento/modifica di Enti Unici, si ribadisce che, in ipotesi di UdO non funzionante, non è ammessa la voltura della gestione, né è ammesso ricomprendere la UdO inattiva all'interno di un Ente Unico.",3e0abd25f3bcf417e9e0a8b74e158ef5,78,"Per le richieste di cambio di titolarità dell'accreditamento e di riconoscimento/modifica di Enti Unici, si conferma che se un'Unità di Organizzazione (UdO) non è operativa, non è possibile trasferire la gestione a un'altra persona, né è possibile includere un'UdO inattiva all'interno di un Ente Unico."
"Si evidenzia che, ai fini della verifica del funzionamento dell'unità di offerta, si deve fare riferimento all'effettiva presa in carico di utenti.",3e0abd25f3bcf417e9e0a8b74e158ef5,79,"Si sottolinea che per controllare se l'unità di offerta funziona correttamente, è necessario considerare quanti utenti vengono effettivamente presi in carico."
"L'ATS pertanto, nel corso delle istruttorie relative ai procedimenti in questione, deve procedere:
- alla verifica dell'effettivo funzionamento dell'UdO, con presa in carico di utenti;
- nell'ipotesi di verifica di non funzionamento da almeno un trimestre, avviare la procedura di decadenza dell'accreditamento",3e0abd25f3bcf417e9e0a8b74e158ef5,80,"Durante l'analisi dei casi in questione, l'ATS deve:
- controllare se l'Ufficio è effettivamente operativo e accoglie utenti;
- se l'Ufficio risulta inattivo da almeno un trimestre, avviare la procedura per revocare l'accreditamento."
